iter	Passed	Remaining
399	62571	104181
400	62746	104055
401	62904	103902
402	63059	103743
403	63223	103599
404	63386	103453
405	63542	103295
406	63682	103112
407	63824	102932
408	63968	102756
409	64112	102579
410	64259	102408
411	64427	102270
412	64590	102124
413	64754	101979
414	64916	101832
415	65072	101675
416	65226	101516
417	65382	101357
418	65535	101196
419	65691	101040
420	65854	100892
421	66006	100729
422	66176	100594
423	66326	100428
424	66460	100237
425	66601	100059
426	66758	99903
427	66900	99725
428	67061	99575
429	67210	99408
430	67365	99251
431	67521	99094
432	67677	98936
433	67821	98763
434	67968	98593
435	68116	98424
436	68285	98287
437	68438	98126
438	68590	97963
439	68744	97804
440	68892	97636
441	69035	97462
442	69196	97311
443	69347	97149
444	69496	96982
445	69674	96857
446	69828	96698
447	69976	96530
448	70156	96406
449	70323	96265
450	70471	96098
451	70639	95956
452	70798	95804
453	70982	95685
454	71133	95522
455	71300	95379
456	71456	95222
457	71612	95065
458	71758	94895
459	71906	94728
460	72067	94578
461	72231	94431
462	72389	94277
463	72535	94108
464	72680	93937
465	72849	93797
466	73098	93759
467	73245	93591
468	73397	93429
469	73547	93264
470	73709	93115
471	73874	92969
472	74025	92805
473	74178	92644
474	74324	92475
475	74470	92305
476	74628	92151
477	74781	91991
478	74935	91831
479	75091	91674
480	75246	91515
481	75404	91361
482	75560	91203
483	75715	91046
484	75873	90891
485	76027	90732
486	76189	90582
487	76357	90440
488	76565	90344
489	76731	90198
490	76873	90025
491	77032	89871
