iter	MAE
198	3.782005182
199	3.781277638
200	3.780429633
201	3.779817129
202	3.778774706
203	3.778003014
204	3.777573324
205	3.777012831
206	3.776447817
207	3.77589569
208	3.774456016
209	3.77391953
210	3.773147879
211	3.772347898
212	3.771614466
213	3.770977415
214	3.770329628
215	3.769404183
216	3.768955941
217	3.768131333
218	3.766983692
219	3.765481365
220	3.764622848
221	3.764356307
222	3.763507612
223	3.76220871
224	3.760817578
225	3.760222635
226	3.759329865
227	3.758567264
228	3.757532849
229	3.756576217
230	3.75602464
231	3.755419654
232	3.754638933
233	3.753750707
234	3.752108978
235	3.751701997
236	3.75086731
237	3.749704649
238	3.747770351
239	3.747069178
240	3.746417389
241	3.745940276
242	3.745336796
243	3.744839635
244	3.744365554
245	3.743944792
246	3.743490042
247	3.742972917
248	3.742265664
249	3.741681281
250	3.741284154
251	3.740744662
252	3.739917597
253	3.739343779
254	3.738818169
255	3.738263065
256	3.737874797
257	3.736874074
258	3.736091193
259	3.735578308
260	3.734895148
261	3.734599013
262	3.733992418
263	3.733697312
264	3.732927417
265	3.732208377
266	3.731397491
267	3.730769895
268	3.730195962
269	3.729528061
270	3.729109778
271	3.728363059
272	3.727707962
273	3.727222608
274	3.726559421
275	3.726062302
276	3.725619013
277	3.725137887
278	3.724368521
279	3.723661302
280	3.723180647
281	3.722732606
282	3.722203646
283	3.721730292
284	3.721360409
285	3.720845603
286	3.720496882
287	3.719882473
288	3.719131533
289	3.717570149
290	3.71713265
291	3.716696278
292	3.715830738
293	3.715364852
294	3.715015543
295	3.714288527
296	3.713750835
297	3.713360096
298	3.713107491
299	3.712690769
300	3.712278153
301	3.711790685
302	3.71148267
303	3.710964913
304	3.710713996
305	3.710349138
306	3.709251071
307	3.708098678
308	3.707797072
309	3.707390483
310	3.706992642
311	3.706761816
312	3.706345815
313	3.705636316
314	3.705013818
315	3.704593123
316	3.704211106
317	3.703904437
318	3.703510801
319	3.703270814
320	3.702691886
321	3.701988596
322	3.70172075
323	3.70142262
324	3.700671671
325	3.699873655
326	3.699467631
327	3.699182825
328	3.698594332
329	3.698398267
330	3.697540557
331	3.697195007
332	3.69680592
333	3.696590862
334	3.696023104
335	3.69548984
336	3.695169959
337	3.694730084
338	3.694155617
339	3.693609055
340	3.693352878
341	3.692951401
342	3.692077116
343	3.691695832
344	3.691333715
345	3.69103689
346	3.690258937
347	3.689672664
348	3.689241315
349	3.688945837
350	3.688422495
351	3.688002166
352	3.687665232
353	3.687339015
354	3.686993362
355	3.686666985
356	3.686282023
357	3.685703779
358	3.685333413
359	3.684973457
360	3.684331664
361	3.684035527
362	3.683656718
363	3.683360606
364	3.682544936
365	3.682272279
366	3.681764258
367	3.680970052
368	3.680579613
369	3.680071732
370	3.679786074
371	3.679525404
372	3.679281507
373	3.678109894
374	3.677798416
375	3.677118529
376	3.676710788
377	3.676316474
378	3.676027692
379	3.675655468
380	3.675222896
381	3.674770095
382	3.674359252
383	3.673890464
384	3.673557487
385	3.673151655
386	3.672076031
387	3.671737632
388	3.671369667
389	3.670734208
390	3.670436945
391	3.670249234
392	3.669963075
393	3.669755247
394	3.66948549
395	3.669036248
396	3.668631336
397	3.668121537
398	3.667782952
399	3.667448818
400	3.667066802
401	3.666511846
402	3.666110408
403	3.665855292
404	3.665514385
405	3.664679412
406	3.663851926
407	3.663507779
408	3.663182037
409	3.662601071
410	3.662232524
411	3.661902338
412	3.661608348
413	3.661369595
414	3.661103796
415	3.660612316
416	3.66038809
417	3.660108024
418	3.659896653
419	3.659361281
420	3.658938763
421	3.658520886
422	3.658073718
423	3.657906704
424	3.657608762
425	3.657352794
426	3.656948956
427	3.65671978
428	3.656369595
429	3.656189015
430	3.655866725
431	3.655662621
432	3.655369358
433	3.655105953
434	3.654514763
435	3.65428585
436	3.653988024
437	3.653634772
438	3.653255547
439	3.652996601
440	3.652860593
441	3.652212071
442	3.651627125
443	3.651252194
444	3.651104758
445	3.650918959
446	3.650518389
447	3.650234067
448	3.649712049
449	3.649436943
450	3.649073006
451	3.648845493
452	3.648560737
453	3.648230501
454	3.647813471
455	3.64759815
456	3.647258529
457	3.647118603
458	3.646933493
459	3.646350493
460	3.646162596
461	3.64541049
462	3.644862798
463	3.644665017
464	3.644278929
465	3.643979325
466	3.643739266
467	3.642936036
468	3.642774983
469	3.642487067
470	3.642297843
471	3.642165769
472	3.641973201
473	3.641623948
474	3.641191919
475	3.641015599
476	3.640714843
477	3.64025854
478	3.639999219
479	3.639682155
480	3.639287388
481	3.639133088
482	3.638869896
483	3.638660861
484	3.638385556
485	3.638105309
486	3.637799731
487	3.637460172
488	3.63722437
489	3.636972344
490	3.636272772
491	3.636031405
492	3.635841433
493	3.6354291
494	3.635017182
495	3.634703981
496	3.634489448
497	3.634120553
498	3.633639568
499	3.633394799
500	3.633160987
501	3.632604064
502	3.632351879
503	3.632091511
504	3.631691276
505	3.631410689
506	3.631295854
507	3.631033191
508	3.630480369
509	3.630298341
510	3.629904278
511	3.629720821
512	3.629368443
513	3.629166385
514	3.628879949
515	3.628505799
516	3.627612807
517	3.627320426
518	3.627046487
519	3.626843502
520	3.626546469
521	3.62634144
522	3.62608876
523	3.625760812
524	3.625486182
525	3.625324304
526	3.624654308
527	3.624173755
528	3.623950764
529	3.623222163
530	3.622888715
531	3.622554581
532	3.622333582
533	3.621970264
534	3.621731482
535	3.621483088
536	3.621247214
537	3.620949941
538	3.620569109
539	3.620104256
540	3.619883463
541	3.619649759
542	3.61913052
543	3.618787923
544	3.61848767
545	3.618159488
546	3.618002621
547	3.616980289
548	3.6168423
549	3.616611771
550	3.616436442
551	3.615950013
552	3.615688101
553	3.61507756
554	3.614827215
555	3.614631985
556	3.614446124
557	3.614203909
558	3.613946777
559	3.613636687
560	3.61348466
561	3.613266414
562	3.61291359
563	3.612790907
564	3.612567303
565	3.612394197
566	3.612069212
567	3.611880798
568	3.611620583
569	3.611273221
570	3.610957482
571	3.610655421
572	3.610476387
573	3.610131134
574	3.60990315
575	3.60954552
576	3.609156852
577	3.60882423
578	3.608656885
579	3.608500819
580	3.60827601
581	3.608026562
582	3.607542177
583	3.607369879
584	3.607211008
585	3.606260984
586	3.60611439
587	3.605774709
588	3.60549413
589	3.60525965
590	3.605054403
591	3.604824384
592	3.604206381
593	3.604045634
594	3.603873886
595	3.60367731
596	3.603437875
597	3.603175136
598	3.60288522
599	3.602714299
600	3.602532813
601	3.602425273
602	3.602214492
603	3.602078008
604	3.601865571
605	3.601644919
606	3.601361085
607	3.601124961
608	3.600999549
609	3.600714615
610	3.600365947
611	3.600115486
612	3.599690258
613	3.599441655
614	3.599206794
615	3.598979751
616	3.598585492
617	3.598337161
618	3.597998349
619	3.59782753
620	3.597585441
621	3.59727023
622	3.596784181
623	3.596402623
624	3.596242548
625	3.595901006
626	3.595778746
627	3.59545059
628	3.595276913
629	3.595062716
630	3.594837253
631	3.594226538
632	3.593960446
633	3.593755771
634	3.593503366
635	3.59318833
636	3.592798011
637	3.59267248
638	3.592433142
639	3.592247589
640	3.59204388
641	3.591774944
642	3.591552435
643	3.591353522
644	3.591155462
645	3.591048461
646	3.590894803
647	3.59077459
648	3.59065465
649	3.590559842
650	3.590283326
651	3.590059471
652	3.589945707
653	3.589521633
654	3.589315622
655	3.588915852
656	3.588335199
657	3.588072937
658	3.587836094
659	3.587474764
660	3.58727828
661	3.587130785
662	3.586901445
663	3.586636608
664	3.586422138
665	3.586168618
666	3.586024965
667	3.585795074
668	3.585567172
669	3.585432859
670	3.585329717
671	3.585184296
672	3.585097954
673	3.584944225
674	3.58478297
675	3.584498536
676	3.584121572
677	3.583851796
678	3.583665469
679	3.583493159
680	3.583189546
681	3.582982261
682	3.582799912
683	3.582542752
684	3.582428526
685	3.582153442
686	3.581988908
687	3.581802319
688	3.581438241
689	3.58126227
690	3.581037376
691	3.580794884
692	3.580597016
693	3.580320062
694	3.579678082
695	3.579563157
696	3.579348723
697	3.579238347
698	3.579024513
699	3.578860688
700	3.578603371
701	3.578447688
702	3.578317535
703	3.578041658
704	3.577720617
705	3.577592875
706	3.577003756
707	3.576854922
708	3.576593429
709	3.576339033
710	3.576051738
711	3.57590616
712	3.575755362
713	3.575496398
714	3.575265096
715	3.57512866
716	3.57438613
717	3.574055681
718	3.57374411
719	3.573477237
720	3.573253025
721	3.573025372
722	3.572897822
723	3.57275821
724	3.57250123
725	3.57216579
726	3.571773245
727	3.57158303
728	3.571471572
729	3.571303957
730	3.571114715
731	3.570919967
732	3.570716328
733	3.570476858
734	3.570314107
735	3.570141856
736	3.569973032
737	3.569681871
738	3.569577527
739	3.569374735
740	3.569111132
741	3.568927165
742	3.568579285
743	3.568445115
744	3.568187083
745	3.567995083
746	3.567624978
747	3.56749224
748	3.567408268
749	3.567139739
750	3.566962804
751	3.566830134
752	3.566633646
753	3.566286556
754	3.566110326
755	3.565900895
756	3.565568299
757	3.565386559
758	3.565191658
759	3.565073329
760	3.564967032
761	3.564792358
762	3.564615649
763	3.564335322
764	3.564066781
765	3.563888048
766	3.56371241
767	3.563242788
768	3.562573431
769	3.562417122
770	3.562281997
771	3.56200178
772	3.56183218
773	3.56157164
774	3.561411041
775	3.561285717
776	3.561132503
777	3.560987306
778	3.560680717
779	3.560383541
780	3.560171336
781	3.560000403
782	3.559867897
783	3.55968949
784	3.5595737
785	3.559371443
786	3.559034003
787	3.558887362
788	3.558688272
789	3.558440237
790	3.558347403
791	3.558152999
792	3.557905373
793	3.557784209
794	3.557408599
795	3.557276823
796	3.55716365
797	3.556908051
798	3.556795736
799	3.556584927
800	3.556199189
801	3.55594377
802	3.555698106
803	3.555405889
804	3.555287714
805	3.555124097
806	3.555029613
807	3.554906546
808	3.554765218
809	3.554521658
810	3.554332029
811	3.554253691
812	3.553973365
813	3.553721268
814	3.553508105
815	3.55343337
816	3.553120391
817	3.552942865
818	3.552705756
819	3.552630271
820	3.55235622
821	3.552157127
822	3.551452965
823	3.551284582
824	3.550886727
825	3.55070549
826	3.550581183
827	3.550419031
828	3.550193325
829	3.550045115
830	3.549764189
831	3.549566362
832	3.549454611
833	3.549208489
834	3.548927812
835	3.548763562
836	3.548604651
837	3.548475095
838	3.548356658
839	3.548220225
840	3.547958931
841	3.547837351
842	3.547297524
843	3.547128339
844	3.546939194
845	3.54681418
846	3.546614013
847	3.546386167
848	3.546253392
849	3.546051807
850	3.545906811
851	3.545769099
852	3.545560842
853	3.545389363
854	3.545224496
855	3.545106536
856	3.545003112
857	3.544876382
858	3.544777206
859	3.544619686
860	3.544499735
861	3.5443832
862	3.544259604
863	3.543764208
864	3.543548825
865	3.543406312
866	3.543108824
867	3.54272852
868	3.542403666
869	3.542222118
870	3.542133841
871	3.541989156
872	3.541851686
873	3.541536617
874	3.541413779
875	3.541304812
876	3.541138365
877	3.540996894
878	3.540912782
879	3.540864015
880	3.540735413
881	3.540511155
882	3.540380876
883	3.540118474
884	3.539861179
885	3.53973402
886	3.53953384
887	3.539325516
888	3.538697968
889	3.538410625
890	3.538237484
891	3.538040315
892	3.537910848
893	3.537756647
894	3.537527383
895	3.537243928
896	3.53699815
897	3.536828102
898	3.536665247
899	3.536189694
900	3.535916239
901	3.535802762
902	3.535692641
903	3.535533195
904	3.535385412
905	3.535148168
906	3.535045637
907	3.534915318
908	3.534781384
909	3.534625047
910	3.534282428
911	3.53411591
912	3.534041409
913	3.533808856
914	3.533702184
915	3.53357389
916	3.533324115
917	3.532773272
918	3.532465072
919	3.532387035
920	3.532045156
921	3.531942082
922	3.531727337
923	3.531509494
924	3.531311716
925	3.531237835
926	3.531097334
927	3.531006406
928	3.530895585
929	3.530751684
930	3.530603134
931	3.53051443
932	3.530252614
933	3.530137156
934	3.52985317
935	3.529675193
936	3.529286996
937	3.529182225
938	3.528985433
939	3.528843326
940	3.528709772
941	3.528506754
942	3.528257066
943	3.5281296
944	3.528035856
945	3.527880012
946	3.527754127
947	3.527687249
948	3.527452072
949	3.527110263
950	3.526883544
951	3.52660559
952	3.526397188
953	3.52627889
954	3.526114831
955	3.525763336
956	3.525576498
957	3.525440467
958	3.52510197
959	3.52497005
960	3.524840522
961	3.52466918
962	3.524220432
963	3.524064632
964	3.523952142
965	3.523769965
966	3.523665363
967	3.523542999
968	3.523448763
969	3.523298366
970	3.523042973
971	3.522955011
972	3.52287303
973	3.522513211
974	3.522348114
975	3.522052764
976	3.521825386
977	3.521746985
978	3.521550449
979	3.521432921
980	3.521310954
981	3.52107114
982	3.520718811
983	3.520635747
984	3.520523086
985	3.520348327
986	3.520244659
987	3.520160561
988	3.519978706
989	3.519804363
990	3.519497581
991	3.519385797
992	3.519291058
993	3.519133612
994	3.518996383
995	3.518865197
996	3.518732671
997	3.518613145
998	3.518522495
999	3.518119803
